"customer_id","first_name","last_name","count"
148,"Eleanor","Hunt","45"
526,"Karl","Seal","42"
144,"Clara","Shaw","40"
75,"Tammy","Sanders","39"
236,"Marcia","Dean","39"
178,"Marion","Snyder","39"
410,"Curtis","Irby","38"
137,"Rhonda","Kennedy","38"
459,"Tommy","Collazo","37"
366,"Brandon","Huey","36"
380,"Russell","Brinson","35"
29,"Angela","Hernandez","35"
469,"Wesley","Bull","35"
5,"Elizabeth","Brown","35"
468,"Tim","Cary","34"
348,"Roger","Quintanilla","34"
30,"Melissa","King","34"
91,"Lois","Butler","34"
373,"Louis","Leone","34"
38,"Martha","Gonzalez","34"
129,"Carrie","Porter","34"
257,"Marsha","Douglas","34"
439,"Alexander","Fennell","33"
181,"Ana","Bradley","33"
66,"Janice","Ward","33"
211,"Stacey","Montgomery","33"
267,"Margie","Wade","33"
354,"Justin","Ngo","33"
403,"Mike","Way","33"
241,"Heidi","Larson","32"
566,"Casey","Mena","32"
138,"Hazel","Warren","32"
360,"Ralph","Madrigal","32"
147,"Joanne","Robertson","32"
381,"Bobby","Boudreau","32"
86,"Jacqueline","Long","32"
197,"Sue","Peters","32"
21,"Michelle","Clark","32"
372,"Steve","Mackenzie","32"
198,"Elsie","Kelley","32"
576,"Morris","Mccarter","32"
176,"June","Carroll","32"
168,"Regina","Berry","32"
342,"Harold","Martino","32"
454,"Alex","Gresham","32"
15,"Helen","Harris","32"
26,"Jessica","Hall","32"
522,"Arnold","Havens","32"
46,"Catherine","Campbell","31"
119,"Sherry","Marshall","31"
470,"Gordon","Allard","31"
462,"Warren","Sherrod","31"
406,"Nathan","Runyon","31"
196,"Alma","Austin","31"
390,"Shawn","Heaton","31"
368,"Harry","Arce","31"
125,"Ethel","Webb","31"
204,"Rosemary","Schmidt","31"
362,"Nicholas","Barfield","31"
532,"Neil","Renner","31"
230,"Joy","George","31"
473,"Jorge","Olivares","31"
78,"Lori","Wood","31"
550,"Guy","Brownlee","31"
141,"Debbie","Reyes","31"
237,"Tanya","Gilbert","31"
520,"Mitchell","Westmoreland","31"
533,"Jessie","Milam","30"
128,"Marjorie","Tucker","30"
254,"Maxine","Silva","30"
64,"Judith","Cox","30"
513,"Duane","Tubbs","30"
35,"Virginia","Green","30"
80,"Marilyn","Ross","30"
84,"Sara","Perry","30"
405,"Leonard","Schofield","30"
1,"Mary","Smith","30"
244,"Viola","Hanson","30"
27,"Shirley","Allen","30"
418,"Jeff","East","30"
260,"Christy","Vargas","30"
51,"Alice","Stewart","30"
502,"Brett","Cornwell","30"
346,"Arthur","Simpkins","30"
451,"Jim","Rea","30"
50,"Diane","Collins","30"
28,"Cynthia","Young","30"
210,"Ella","Oliver","30"
494,"Ramon","Choate","30"
438,"Barry","Lovelace","30"
114,"Grace","Ellis","30"
259,"Lena","Jensen","30"
172,"Bernice","Willis","30"
347,"Ryan","Salisbury","30"
122,"Thelma","Murray","30"
102,"Crystal","Ford","30"
158,"Veronica","Stone","30"
120,"Sylvia","Ortiz","30"
42,"Carolyn","Perez","29"
442,"Leroy","Bustamante","29"
479,"Zachary","Hite","29"
157,"Darlene","Rose","29"
314,"George","Linton","29"
371,"Billy","Poulin","29"
499,"Marc","Outlaw","29"
242,"Glenda","Frazier","29"
163,"Cathy","Spencer","29"
404,"Stanley","Scroggins","29"
356,"Gerald","Fultz","29"
595,"Terrence","Gunderson","29"
452,"Tom","Milner","29"
560,"Jordan","Archuleta","29"
186,"Holly","Fox","29"
89,"Julia","Flores","29"
592,"Terrance","Roush","29"
361,"Lawrence","Lawton","29"
209,"Tonya","Chapman","29"
424,"Kyle","Spurlock","29"
39,"Debra","Nelson","29"
393,"Philip","Causey","29"
103,"Gladys","Hamilton","29"
167,"Sally","Pierce","29"
535,"Javier","Elrod","28"
87,"Wanda","Patterson","28"
135,"Juanita","Mason","28"
90,"Ruby","Washington","28"
108,"Tracy","Cole","28"
265,"Jennie","Terry","28"
112,"Rosa","Reynolds","28"
386,"Todd","Tan","28"
71,"Kathy","James","28"
506,"Leslie","Seward","28"
132,"Esther","Crawford","28"
416,"Jeffery","Pinson","28"
239,"Minnie","Romero","28"
397,"Jimmy","Schrader","28"
363,"Roy","Whiting","28"
559,"Everett","Banda","28"
306,"Charles","Kowalski","28"
388,"Craig","Morrell","28"
446,"Theodore","Culp","28"
467,"Alvin","Deloach","28"
558,"Jimmie","Eggleston","28"
529,"Erik","Guillen","28"
207,"Gertrude","Castillo","28"
295,"Daisy","Bates","28"
573,"Byron","Box","28"
107,"Florence","Woods","28"
273,"Priscilla","Lowe","28"
481,"Herman","Devore","28"
444,"Marcus","Hidalgo","28"
349,"Joe","Gilliland","28"
503,"Angel","Barclay","28"
52,"Julie","Sanchez","28"
7,"Maria","Miller","28"
485,"Clyde","Tobias","28"
565,"Jaime","Nettles","27"
213,"Gina","Williamson","27"
146,"Jamie","Rice","27"
13,"Karen","Jackson","27"
457,"Bill","Gavin","27"
436,"Troy","Quigley","27"
569,"Dave","Gardiner","27"
25,"Deborah","Walker","27"
274,"Naomi","Jennings","27"
448,"Miguel","Betancourt","27"
538,"Ted","Breaux","27"
221,"Bessie","Morrison","27"
160,"Erin","Dunn","27"
187,"Brittany","Riley","27"
484,"Roberto","Vu","27"
113,"Cindy","Fisher","27"
131,"Monica","Hicks","27"
461,"Derek","Blakely","27"
447,"Clifford","Bowens","27"
173,"Audrey","Ray","27"
584,"Salvador","Teel","27"
376,"Randy","Gaither","27"
588,"Marion","Ocampo","27"
263,"Hilda","Hopkins","27"
20,"Sharon","Robinson","27"
262,"Patsy","Davidson","27"
579,"Daryl","Larue","27"
574,"Julian","Vest","27"
115,"Wendy","Harrison","27"
96,"Diana","Alexander","27"
591,"Kent","Arsenault","27"
408,"Manuel","Murrell","27"
441,"Mario","Cheatham","27"
154,"Michele","Grant","27"
497,"Gilbert","Sledge","27"
139,"Amber","Dixon","27"
23,"Sarah","Lewis","27"
145,"Lucille","Holmes","27"
166,"Lynn","Payne","27"
72,"Theresa","Watson","27"
